All.obs;uniqueID;Record;Country;Type;RBD;ICcode;physChemText;Note1_PhysChemText;SumMetric;ValueStd;ValueUpStd;CorSumMetric;Note2_Season;CorValueStd;CorValueUpStd;UnitUsed;Note3_stdUnits;RangeRep;ReasonRange;SalinityRange;DepthZone;Comment;Delete;physChemCategoryCW;physChemCategoryTW;Ver;cfMS
8014;9910;47;BG;BG2000;CW3;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8023;9919;48;BG;BG2000;CW3;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8001;9897;49;BG;BG2000;CW4N;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8010;9906;50;BG;BG2000;CW4N;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8019;9915;51;BG;BG2000;CW4N;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8028;9924;52;BG;BG2000;CW4N;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8000;9896;53;BG;BG2000;CW5;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8009;9905;54;BG;BG2000;CW5;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8018;9914;55;BG;BG2000;CW5;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8027;9923;56;BG;BG2000;CW5;CW-BL1;Nitrate as N;;autumn;0,080025807;;autumn;;0,08;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8003;9899;57;BG;BG2000;CW6N;CW-BL1;Nitrate as N;;winter;0,135043549;;winter;;0,135;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8012;9908;58;BG;BG2000;CW6N;CW-BL1;Nitrate as N;;spring;0,075024194;;spring;;0,075;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
8021;9917;59;BG;BG2000;CW6N;CW-BL1;Nitrate as N;;summer;0,040012903;;summer;;0,04;;mgN/L;We standardised your Value using a factor of 0.225806452 to convert from units of   mg/L;FALSE;;;;;FALSE;yes;no;Ver7e_revised;
