All.obs;GIG;Cat;ICcode.TRAC;Country;NatType;physChemText;SumMetric;ValueStd;ValueUpStd;UnitUsed;RangeRep;ReasonRange;DepthZone;Ver.r;MetricType
4900;BAL;CW;CW-BC3;FI;FIVHA2;TP;summer;24;NA;µgP/L;FALSE;NA;Surf;Rver2;seasonal
4806;BAL;CW;CW-BC3;FI;FIVHA2;Secchi disk depth;summer;3.5;NA;m;FALSE;NA;Surf;Rver2;seasonal
11240;BAL;CW;CW-BC3;EE;EE2;Secchi disk depth;summer;4.2;NA;m;FALSE;NA;NA;Rver2;seasonal
11248;BAL;CW;CW-BC3;EE;EE2;TP;summer;21;NA;µgP/L;FALSE;NA;nutrients usually from 1, 5 and 10 m depth;Rver2;seasonal
11236;BAL;CW;CW-BC3;EE;EE2;Orthophosphate;AA-EQS;NA;NA;µgP/L;FALSE;NA;NA;Rver2;annual
11234;BAL;CW;CW-BC3;EE;EE1;Nitrate as N;AA-EQS;NA;NA;mgN/L;FALSE;NA;NA;Rver2;annual
11232;BAL;CW;CW-BC3;EE;EE2;Nitrate as N;AA-EQS;NA;NA;mgN/L;FALSE;NA;NA;Rver2;annual
4807;BAL;CW;CW-BC3;FI;FIVHA2;Secchi disk depth;summer;4.4;NA;m;FALSE;NA;Surf;Rver2;seasonal
11228;BAL;CW;CW-BC3;EE;EE2;Dissolved oxygen;Median;NA;NA;mg/L;FALSE;NA;NA;Rver2;annual
11242;BAL;CW;CW-BC3;EE;EE1;Secchi disk depth;summer;5.3;NA;m;FALSE;NA;NA;Rver2;seasonal
4856;BAL;CW;CW-BC3;FI;FIVHA2;TN;summer;0.325;NA;mgN/L;FALSE;NA;Surf;Rver2;seasonal
11250;BAL;CW;CW-BC3;EE;EE1;TP;summer;17;NA;µgP/L;FALSE;NA;nutrients usually from 1, 5 and 10 m depth;Rver2;seasonal
11246;BAL;CW;CW-BC3;EE;EE1;TN;AA-EQS;0.25;NA;mgN/L;FALSE;NA;nutrients usually from 1, 5 and 10 m depth;Rver2;annual
11230;BAL;CW;CW-BC3;EE;EE1;Dissolved oxygen;Median;NA;NA;mg/L;FALSE;NA;NA;Rver2;annual
11244;BAL;CW;CW-BC3;EE;EE2;TN;AA-EQS;0.3;NA;mgN/L;FALSE;NA;nutrients usually from 1, 5 and 10 m depth;Rver2;annual
6541;BAL;CW;CW-BC4;EE;EE1;Dissolved oxygen;Median;NA;NA;mg/L;FALSE;NA;NA;Rver2;annual
6551;BAL;CW;CW-BC4;EE;EE1;Orthophosphate;AA-EQS;NA;NA;µgP/L;FALSE;NA;NA;Rver2;annual
9011;BAL;CW;CW-BC4;LV;LVVUBA;Secchi disk depth;summer;4;NA;m;FALSE;NA;NA;Rver2;seasonal
6538;BAL;CW;CW-BC4;EE;EE1;Secchi disk depth;summer;4.9;6.5;m;FALSE;NA;NA;Rver2;seasonal
8949;BAL;CW;CW-BC4;LV;LVGUBA;Orthophosphate;winter;23.231;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
9037;BAL;CW;CW-BC4;LV;LVLUBA;Secchi disk depth;summer;4;NA;m;FALSE;NA;NA;Rver2;seasonal
6550;BAL;CW;CW-BC4;EE;EE1;TN;summer;0.27;6;mgN/L;FALSE;NA;Other;Rver2;seasonal
9014;BAL;CW;CW-BC4;LV;LVVUBA;Nitrate as N;winter;0.154;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
6546;BAL;CW;CW-BC4;EE;EE1;Nitrate as N;AA-EQS;NA;NA;mgN/L;FALSE;NA;NA;Rver2;annual
9039;BAL;CW;CW-BC4;LV;LVLUBA;Nitrate as N;winter;0.154;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
8945;BAL;CW;CW-BC4;LV;LVGUBA;Secchi disk depth;summer;4;NA;m;FALSE;NA;NA;Rver2;seasonal
9017;BAL;CW;CW-BC4;LV;LVVUBA;Orthophosphate;winter;23.231;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
8947;BAL;CW;CW-BC4;LV;LVGUBA;Nitrate as N;winter;0.154;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
6552;BAL;CW;CW-BC4;EE;EE1;TP;summer;12;100;µgP/L;FALSE;NA;Other;Rver2;seasonal
9041;BAL;CW;CW-BC4;LV;LVLUBA;Orthophosphate;winter;23.231;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11405;BAL;CW;CW-BC5;PL;PL2000;% oxygen saturation;AA-EQS;80;120;PC02;TRUE;High low;Surf;Rver2;annual
9016;BAL;CW;CW-BC5;LV;LVVUBA;Orthophosphate;winter;18.585;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11420;BAL;CW;CW-BC5;PL;PL2000;Total Inorganic N;winter;0.1;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
9013;BAL;CW;CW-BC5;LV;LVVUBA;Nitrate as N;winter;0.112;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
9015;BAL;CW;CW-BC5;LV;LVVUBA;Orthophosphate;winter;18.585;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11407;BAL;CW;CW-BC5;PL;PL2000;Nitrate as N;winter;0.12;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
9012;BAL;CW;CW-BC5;LV;LVVUBA;Nitrate as N;winter;0.112;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
11422;BAL;CW;CW-BC5;PL;PL2000;TP;summer;30;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11424;BAL;CW;CW-BC5;PL;PL2000;TP;summer;30;NA;µgP/L;FALSE;NA;NA;Rver2;seasonal
11408;BAL;CW;CW-BC5;PL;PL2000;Nitrate as N;winter;0.08;NA;mgN/L;FALSE;NA;NA;Rver2;seasonal
